@relation /Users/ugursogukpinar/Desktop/climate_2.arff

@attribute Ocak_SICAKLIK numeric
@attribute  Şubat_SICAKLIK numeric
@attribute  Mart_SICAKLIK numeric
@attribute  Nisan_SICAKLIK numeric
@attribute  Mayıs_SICAKLIK numeric
@attribute  Haziran_SICAKLIK numeric
@attribute  Temmuz_SICAKLIK numeric
@attribute  Ağustos_SICAKLIK numeric
@attribute  Eylül_SICAKLIK numeric
@attribute  Ekim_SICAKLIK numeric
@attribute  Kasım_SICAKLIK numeric
@attribute  Aralık_SICAKLIK numeric
@attribute  Ocak_GUNESLENME numeric
@attribute  Şubat_GUNESLENME numeric
@attribute  Mart_GUNESLENME numeric
@attribute  Nisan_GUNESLENME numeric
@attribute  Mayıs_GUNESLENME numeric
@attribute  Haziran_GUNESLENME numeric
@attribute  Temmuz_GUNESLENME numeric
@attribute  Ağustos_GUNESLENME numeric
@attribute  Eylül_GUNESLENME numeric
@attribute  Ekim_GUNESLENME numeric
@attribute  Kasım_GUNESLENME numeric
@attribute  Aralık_GUNESLENME numeric
@attribute  Ocak_YAGISLI_GUN numeric
@attribute  Şubat_YAGISLI_GUN numeric
@attribute  Mart_YAGISLI_GUN numeric
@attribute  Nisan_YAGISLI_GUN numeric
@attribute  Mayıs_YAGISLI_GUN numeric
@attribute  Haziran_YAGISLI_GUN numeric
@attribute  Temmuz_YAGISLI_GUN numeric
@attribute  Ağustos_YAGISLI_GUN numeric
@attribute  Eylül_YAGISLI_GUN numeric
@attribute  Ekim_YAGISLI_GUN numeric
@attribute  Kasım_YAGISLI_GUN numeric
@attribute  Aralık_YAGISLI_GUN numeric
@attribute  Ocak_ORTALAMA_YAGIS numeric
@attribute  Şubat_ORTALAMA_YAGIS numeric
@attribute  Mart_ORTALAMA_YAGIS numeric
@attribute  Nisan_ORTALAMA_YAGIS numeric
@attribute  Mayıs_ORTALAMA_YAGIS numeric
@attribute  Haziran_ORTALAMA_YAGIS numeric
@attribute  Temmuz_ORTALAMA_YAGIS numeric
@attribute  Ağustos_ORTALAMA_YAGIS numeric
@attribute  Eylül_ORTALAMA_YAGIS numeric
@attribute  Ekim_ORTALAMA_YAGIS numeric
@attribute  Kasım_ORTALAMA_YAGIS numeric
@attribute  Aralık_ORTALAMA_YAGIS numeric
@attribute Ocak_EN_YUKSEK_SICAKLIK numeric
@attribute  Şubat_EN_YUKSEK_SICAKLIK numeric
@attribute  Mart_EN_YUKSEK_SICAKLIK numeric
@attribute  Nisan_EN_YUKSEK_SICAKLIK numeric
@attribute  Mayıs_EN_YUKSEK_SICAKLIK numeric
@attribute  Haziran_EN_YUKSEK_SICAKLIK numeric
@attribute  Temmuz_EN_YUKSEK_SICAKLIK numeric
@attribute  Ağustos_EN_YUKSEK_SICAKLIK numeric
@attribute  Eylül_EN_YUKSEK_SICAKLIK numeric
@attribute  Ekim_EN_YUKSEK_SICAKLIK numeric
@attribute  Kasım_EN_YUKSEK_SICAKLIK numeric
@attribute  Aralık_EN_YUKSEK_SICAKLIK numeric
@attribute Ocak_EN_DUSUK_SICAKLIK numeric
@attribute  Şubat_EN_DUSUK_SICAKLIK numeric
@attribute  Mart_EN_DUSUK_SICAKLIK numeric
@attribute  Nisan_EN_DUSUK_SICAKLIK numeric
@attribute  Mayıs_EN_DUSUK_SICAKLIK numeric
@attribute  Haziran_EN_DUSUK_SICAKLIK numeric
@attribute  Temmuz_EN_DUSUK_SICAKLIK numeric
@attribute  Ağustos_EN_DUSUK_SICAKLIK numeric
@attribute  Eylül_EN_DUSUK_SICAKLIK numeric
@attribute  Ekim_EN_DUSUK_SICAKLIK numeric
@attribute  Kasım_EN_DUSUK_SICAKLIK numeric
@attribute  Aralık_EN_DUSUK_SICAKLIK numeric
@attribute LAT numeric
@attribute LNG numeric
@attribute RAKIM numeric
@attribute ORMAN_ORANI numeric
@attribute SEHIR {'USAK','KARS','SAMSUN','BINGOL','MUS','HATAY','SAKARYA','KAHRAMANMARAS','TRABZON','GIRESUN','ERZINCAN','DUZCE','SANLIURFA','KIRIKKALE','EDIRNE','GAZIANTEP','AGRI','BALIKESIR','BURDUR','AKSARAY','SIIRT',' IGDIR','ZONGULDAK','BITLIS','DENIZLI','ISPARTA','MALATYA','KAYSERI','KILIS','SINOP','MANISA',' KOCAELI','YALOVA','KARABUK','ADIYAMAN','KIRSEHIR','CANAKKALE','YOZGAT','ANTALYA','VAN','ERZURUM','BILECIK','NEVSEHIR','SIRNAK','BATMAN','AMASYA','ARDAHAN','ANKARA','ADANA','TOKAT','BOLU','AYDIN','BARTIN','MUGLA','HAKKARI','MERSIN','GUMUSHANE','OSMANIYE','CANKIRI','TEKIRDAG','KIRKLARELI','ISTANBUL','BAYBURT','ARTVIN','NIGDE','MARDIN','ELAZIG','SIVAS','ESKISEHIR','AFYONKARAHISAR','BURSA','TUNCELI','RIZE','KUTAHYA','CORUM','DIYARBAKIR','KASTAMONU','ORDU','KONYA','IZMIR'}
@attribute TAG {'karasal','karadeniz','akdeniz'}
@data
9.6,10.5,13.5,17.5,21.7,25.6,28.1,28.5,25.9,21.3,15.5,11.2,4.3,5.2,6.0,7.1,9.1,10.4,10.5,10.3,9.0,7.2,5.6,4.2,10.4,10.3,10.0,9.1,6.7,3.0,0.9,0.8,2.6,5.5,7.1,10.4,109.8,84.8,67.8,54.7,47.6,19.8,7.0,5.3,17.6,40.6,72.7,126.7,26.5,26.7,32.0,37.5,40.6,41.3,44.0,45.6,43.2,39.4,33.3,30.8,-8.1,-6.4,-3.6,-1.3,5.6,11.2,11.5,14.8,9.3,4.8,-4.3,-4.4,37.00000000,35.32133330,23,45,'ADANA','akdeniz'
4.6,5.8,10.0,15.1,20.6,26.8,31.1,30.5,25.7,18.9,11.6,6.5,3.6,4.4,5.5,7.2,9.4,12.0,12.3,11.4,10.1,7.2,5.3,4.6,12.2,11.9,12.0,11.3,8.3,2.4,0.6,0.4,1.3,6.7,8.8,11.8,136.7,104.4,91.6,66.6,42.4,7.6,1.0,0.7,5.3,46.6,76.5,133.2,19.9,21.7,28.3,34.5,39.0,40.7,45.3,44.2,40.3,36.1,29.4,26.5,-14.4,-10.0,-7.0,-2.0,3.4,10.6,15.0,15.8,9.6,2.2,-3.5,-8.4,37.76416670,38.27616670,669,25,'ADIYAMAN','karasal'
0.4,1.7,5.4,10.4,15.0,19.1,22.2,22.1,17.7,12.1,6.8,2.5,3.0,4.1,5.1,6.3,8.2,10.0,11.2,10.5,8.5,6.3,4.5,2.5,12.7,12.0,12.5,11.9,12.1,7.7,3.9,3.2,4.3,7.6,8.7,12.5,42.8,38.5,44.2,46.8,51.8,37.1,19.5,12.2,19.9,37.4,32.5,44.6,17.4,20.2,26.4,30.2,32.0,35.8,39.8,38.2,35.6,31.1,24.5,21.0,-27.0,-25.3,-17.0,-7.6,-3.1,1.0,4.0,2.4,-2.9,-7.2,-14.9,-18.0,38.76376000,30.54034000,1021,15,'AFYONKARAHISAR','karasal'
-10.8,-9.3,-3.0,6.2,12.0,16.6,21.2,21.2,16.2,9.1,1.5,-6.5,2.1,3.0,4.2,5.5,7.5,10.6,10.2,10.1,9.1,6.3,4.1,2.0,11.4,11.3,12.4,14.7,16.3,10.5,6.0,4.1,4.6,9.1,8.4,10.7,39.9,48.6,50.9,71.2,70.7,45.1,22.4,12.6,18.1,53.9,45.1,41.1,9.6,13.0,21.5,27.2,32.7,39.8,39.8,39.9,35.3,29.2,19.8,16.0,-45.6,-42.8,-39.6,-25.6,-9.0,-3.0,1.7,1.2,-4.1,-11.4,-31.6,-39.8,39.72166670,43.05666670,1640,5,'AGRI','karasal'
0.5,2.0,6.5,11.5,16.2,20.4,23.8,23.2,18.6,13.0,6.9,2.5,3.1,4.3,5.5,7.0,9.1,11.2,12.1,11.4,10.6,7.1,5.0,3.1,10.1,10.3,10.5,10.9,10.3,6.0,1.6,1.3,2.6,6.0,7.4,10.6,38.6,34.0,40.2,46.9,40.8,25.2,6.1,3.8,8.4,26.1,32.2,43.4,19.4,21.6,29.0,31.8,33.8,36.9,40.0,38.8,36.5,32.8,26.2,22.0,-26.4,-29.0,-19.0,-7.5,-0.2,2.9,6.8,5.9,1.0,-6.0,-14.0,-21.9,38.36869000,34.03698000,900,5,'AKSARAY','karasal'
2.7,4.6,8.4,13.6,17.9,21.6,24.2,24.0,20.1,14.7,8.6,4.6,2.1,3.1,4.3,5.5,7.3,8.6,9.5,9.2,7.4,4.6,3.2,2.0,12.0,11.0,12.6,13.4,12.8,8.8,3.3,2.6,4.7,8.0,9.4,12.4,48.3,38.1,47.5,56.4,51.3,37.9,14.8,9.3,20.5,35.9,44.6,54.8,21.3,24.8,31.2,35.8,37.5,41.8,45.0,42.2,40.3,36.0,29.7,22.9,-21.0,-20.4,-15.3,-5.1,-0.1,4.8,8.5,8.8,3.0,-2.9,-9.5,-12.7,40.65000000,35.83333330,392,35,'AMASYA','karadeniz'
0.4,1.9,6.0,11.3,16.1,20.1,23.6,23.4,18.8,13.0,7.0,2.6,2.5,3.5,5.2,6.4,8.4,10.2,11.3,11.6,9.2,6.5,4.4,2.4,12.3,11.0,11.1,11.7,12.6,8.9,3.7,2.8,3.9,6.9,8.4,11.5,42.1,36.6,40.3,46.5,52.0,36.7,14.2,10.9,18.7,29.1,32.0,43.1,16.6,20.4,27.8,31.1,33.0,37.0,41.0,40.4,36.0,33.3,24.4,20.4,-24.4,-22.2,-19.2,-6.7,-1.6,3.8,4.5,6.3,2.5,-5.3,-13.4,-18.0,39.92077000,32.85411000,850,15,'ANKARA','karasal'
9.9,10.4,12.7,16.2,20.5,25.3,28.4,28.2,24.8,20.0,14.9,11.4,5.1,5.8,6.7,8.0,9.7,11.4,11.7,11.2,9.7,7.8,6.3,4.9,12.7,10.5,9.0,7.1,5.5,2.7,0.6,0.6,1.8,5.8,7.8,11.7,231.9,150.2,103.2,55.5,31.4,7.7,2.8,3.1,15.8,80.1,135.0,257.9,23.9,25.9,28.8,36.4,38.0,44.8,45.0,44.6,42.1,37.7,33.0,25.4,-3.4,-4.6,-1.6,1.4,6.7,11.1,14.8,15.3,10.6,4.9,0.8,-1.9,36.88414000,30.70563000,39,55,'ANTALYA','akdeniz'
-11.3,-10.0,-3.5,4.5,9.5,13.0,16.3,16.2,12.3,6.6,-0.1,-7.7,2.4,3.4,4.6,5.2,6.5,8.5,8.6,8.3,7.4,5.3,3.6,2.4,9.5,9.8,11.5,13.8,16.8,15.4,11.4,10.8,7.6,9.7,9.1,9.7,18.9,20.8,30.9,52.7,82.0,92.7,70.3,61.7,34.9,37.6,28.9,22.7,11.0,11.0,18.4,25.0,26.4,29.0,34.3,35.0,30.6,26.0,18.2,14.3,-39.8,-38.7,-33.2,-22.2,-8.5,-4.5,-2.2,-2.8,-5.8,-15.0,-28.9,-36.3,41.11048100,42.70217100,1870,5,'ARDAHAN','karasal'
2.8,3.9,7.0,12.0,15.9,18.7,20.8,20.9,18.1,14.0,9.0,4.5,2.2,3.2,4.2,5.2,6.3,7.1,6.5,7.6,6.3,4.4,3.1,2.1,13.0,12.7,13.3,12.9,14.1,12.6,8.2,8.1,8.4,11.1,11.2,11.7,86.8,72.9,61.3,54.2,52.4,49.9,31.5,29.7,35.5,61.4,78.4,87.8,18.9,21.2,28.4,34.4,36.4,39.0,42.0,43.0,39.5,33.9,27.9,20.9,-16.1,-11.9,-9.8,-7.1,-0.6,3.7,9.5,9.5,4.2,-1.6,-8.2,-10.8,41.18333330,41.81666670,520,55,'ARTVIN','karadeniz'
8.2,9.3,11.8,15.8,20.9,25.9,28.4,27.6,23.5,18.4,13.3,9.6,3.5,4.2,5.3,6.1,7.5,9.2,10.0,9.2,8.6,6.2,4.2,3.4,12.2,10.4,9.7,8.7,6.3,2.3,0.8,0.5,2.1,5.7,8.3,12.8,108.6,93.8,70.4,52.9,36.5,13.5,3.9,2.3,13.1,44.2,83.9,120.9,23.2,25.2,32.4,35.4,40.2,44.4,44.6,43.8,43.3,37.8,30.7,25.9,-7.6,-5.4,-5.0,-0.8,4.6,8.4,13.4,11.8,7.6,2.0,-2.0,-5.3,37.84440000,27.84580000,64,35,'AYDIN','akdeniz'
4.9,5.9,8.3,13.0,17.8,22.5,24.8,24.6,20.7,15.7,10.4,6.7,2.9,3.6,4.7,6.3,8.7,10.7,11.6,10.9,8.6,6.2,4.2,2.5,14.2,11.7,11.5,9.6,7.7,4.5,1.6,1.4,3.5,6.7,9.7,13.8,80.3,68.3,57.8,51.3,41.2,24.6,7.9,5.8,23.3,45.4,76.7,94.2,23.5,24.8,30.7,35.2,38.2,42.5,43.2,43.7,40.3,36.4,29.0,26.1,-13.8,-18.8,-8.0,-4.0,0.6,4.0,9.1,8.7,4.0,-2.3,-7.9,-12.9,39.64836900,27.88261000,139,45,'BALIKESIR','akdeniz'
4.2,4.7,7.1,11.3,15.7,19.8,22.1,21.7,17.7,13.6,9.2,5.9,2.1,3.1,4.1,5.4,7.2,8.5,9.5,9.2,7.3,5.1,3.3,2.2,16.1,14.6,14.0,12.1,10.2,8.8,6.9,6.7,8.6,11.8,12.8,17.0,112.6,84.4,76.6,59.2,52.1,71.2,61.9,76.5,86.0,114.3,114.4,131.3,23.2,27.2,31.6,34.1,39.1,38.0,42.8,41.3,37.8,37.1,29.0,27.7,-15.4,-18.6,-13.1,-4.5,-1.3,5.3,8.0,6.7,1.5,-3.2,-5.6,-10.6,41.63444440,32.33750000,19,55,'BARTIN','karadeniz'
